Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2014-12-31,3542.34,3533.705,3452.498,3462.389,345935
2015-01-05,3669.042,3641.541,3551.51,3566.089,451198
2015-01-06,3683.226,3641.059,3587.231,3608.428,420962
2015-01-07,3671.19,3643.79,3601.698,3620.924,320191
2015-01-08,3659.945,3559.259,3552.1,3650.073,295003
2015-01-09,3689.753,3546.723,3536.395,3547.574,349983
2015-01-12,3560.527,3513.576,3461.322,3531.515,266567
2015-01-13,3550.158,3514.04,3494.768,3506.451,187154
2015-01-14,3547.242,3502.423,3471.56,3522.907,196013
2015-01-15,3604.121,3604.121,3482.27,3501.719,237812
2015-01-16,3662.158,3635.146,3601.258,3616.248,282682
2015-01-19,3497.252,3355.155,3330.981,3414.013,329505
2015-01-20,3419.204,3396.222,3325.681,3336.793,297843
2015-01-21,3557.794,3548.885,3409.43,3420.491,337928
2015-01-22,3576.756,3567.613,3520.053,3551.052,268854
2015-01-23,3627.806,3571.732,3548.626,3582.088,280172
2015-01-26,3611.617,3607.985,3559.376,3580.118,239766
2015-01-27,3616.258,3574.931,3510.017,3614.038,287669
2015-01-28,3583.312,3525.323,3512.393,3547.239,216220
2015-01-29,3505.582,3481.798,3453.901,3474.915,211619
2015-01-30,3514.217,3434.39,3431.936,3496.885,196479
2015-02-02,3407.256,3353.96,3347.085,3360.193,195184
2015-02-03,3441.709,3437.445,3360.717,3388.602,192846
2015-02-04,3476.817,3401.768,3399.565,3446.144,191304
2015-02-05,3487.951,3366.946,3366.862,3487.951,250431
2015-02-06,3374.051,3312.42,3285.935,3352.33,192664
2015-02-09,3376.526,3345.921,3298.597,3305.734,172354
2015-02-10,3407.18,3406.943,3339.548,3345.077,159309
2015-02-11,3445.655,3434.124,3412.136,3415.977,144614
2015-02-12,3453.582,3442.874,3405.627,3435.361,156082
2015-02-13,3509.505,3469.828,3452.079,3458.827,201090
2015-02-16,3504.475,3499.483,3466.607,3473.289,165641
2015-02-17,3536.82,3522.322,3511.093,3511.544,165328
2015-02-25,3529.55,3478.729,3463.955,3529.55,165539
2015-02-26,3569.33,3566.295,3456.871,3473.713,229328
2015-02-27,3594.813,3572.843,3560.455,3565.233,222786
2015-03-02,3608.691,3601.265,3566.527,3603.452,248176
2015-03-03,3579.315,3507.9,3504.201,3579.315,261866
2015-03-04,3540.912,3530.822,3497.172,3514.667,199664
2015-03-05,3517.083,3496.344,3467.676,3513.249,217509
2015-03-06,3516.243,3478.52,3472.392,3501.184,181518
2015-03-09,3546.705,3537.75,3417.486,3449.696,233940
2015-03-10,3551.205,3520.611,3511.985,3523.64,194268
2015-03-11,3568.916,3524.653,3512.218,3524.575,188948
2015-03-12,3603.341,3592.844,3536.534,3557.686,265665
2015-03-13,3641.392,3617.657,3594.742,3604.671,246865
2015-03-16,3705.739,3705.671,3621.119,3641.773,275438
2015-03-17,3762.575,3757.122,3716.809,3733.961,371626
2015-03-18,3846.055,3846.055,3763.848,3769.086,415190
2015-03-19,3859.126,3839.739,3809.706,3851.249,391548
2015-03-20,3916.863,3892.574,3832.416,3852.492,401818
2015-03-23,3972.296,3972.061,3922.21,3923.083,391120
2015-03-24,3989.858,3973.046,3883.782,3980.066,468581
2015-03-25,3980.716,3940.412,3913.988,3961.578,379969
2015-03-26,3991.997,3949.999,3892.878,3921.745,346756
2015-03-27,3993.032,3971.697,3932.87,3957.542,298756
2015-03-30,4101.651,4088.178,3999.024,3999.024,428297
2015-03-31,4166.018,4051.204,4037.771,4138.885,436066
2015-04-01,4139.499,4123.895,4046.939,4057.501,329513
2015-04-02,4156.842,4124.776,4068.649,4149.946,339070
2015-04-03,4170.558,4170.538,4092.383,4104.672,321304
2015-04-07,4260.471,4260.044,4197.019,4213.894,415363
2015-04-08,4304.78,4295.803,4204.826,4277.45,458677
2015-04-09,4332.166,4262.138,4212.611,4316.958,439700
2015-04-10,4351.687,4344.416,4231.196,4249.383,348190
2015-04-13,4432.024,4421.073,4361.589,4394.047,434153
2015-04-14,4474.353,4438.184,4385.908,4432.126,434432
2015-04-15,4475.997,4380.513,4379.609,4439.314,472154
2015-04-16,4513.765,4513.546,4335.63,4355.491,422604
2015-04-17,4630.27,4596.136,4553.904,4578.679,552803
2015-04-20,4671.168,4521.919,4492.6,4615.034,686439
2015-04-21,4620.058,4619.164,4504.558,4520.461,490315
2015-04-22,4740.933,4739.814,4632.589,4637.055,516214
2015-04-23,4782.044,4740.892,4693.967,4764.481,497431
2015-04-24,4730.43,4702.641,4618.318,4682.626,480153
2015-04-27,4810.485,4807.592,4735.31,4753.871,513077
2015-04-28,4839.078,4741.861,4703.567,4811.319,608639
2015-04-29,4797.927,4774.326,4695.793,4722.903,395057
2015-04-30,4818.725,4749.886,4749.485,4788.412,399727
2015-05-04,4795.915,4787.741,4699.398,4757.637,377844
2015-05-05,4785.192,4596.837,4572.983,4785.192,460420
2015-05-06,4700.909,4553.327,4511.761,4626.231,376074
2015-05-07,4546.338,4470.089,4467.459,4520.818,297759
2015-05-08,4559.058,4558.404,4445.592,4515.554,302408
2015-05-11,4690.954,4690.532,4535.149,4582.091,373838
2015-05-12,4748.004,4747.421,4660.016,4692.122,377054
2015-05-13,4758.002,4718.436,4678.845,4746.713,370730
2015-05-14,4735.284,4700.778,4670.168,4717.955,337725
2015-05-15,4690.755,4617.47,4592.05,4690.755,328431
2015-05-18,4623.383,4575.14,4565.061,4582.058,269180
2015-05-19,4740.005,4731.222,4577.637,4577.637,314786
2015-05-20,4843.1,4754.919,4745.21,4751.572,363181
2015-05-21,4841.615,4840.976,4746.029,4768.689,305055
2015-05-22,4951.991,4951.335,4870.598,4895.925,455847
2015-05-25,5099.839,5099.495,4949.11,4949.11,465737
2015-05-26,5199.295,5198.918,5063.146,5140.798,487949
2015-05-27,5226.844,5181.434,5126.861,5216.17,470799
2015-05-28,5213.183,4834.007,4831.329,5174.101,571829
2015-05-29,4924.303,4840.829,4665.521,4839.53,427879
2015-06-01,5079.319,5076.179,4835.774,4862.756,417504
2015-06-02,5162.556,5161.87,5047.081,5091.272,412973
2015-06-03,5186.967,5143.59,5059.495,5176.597,414258
2015-06-04,5194.233,5181.416,4863.465,5156.012,482767
2015-06-05,5288.34,5230.552,5104.178,5254.905,545961
2015-06-08,5370.6089,5353.7514,5202.5948,5259.4079,637313
2015-06-09,5380.4264,5317.461,5251.2077,5379.4703,570427
2015-06-10,5374.8296,5309.112,5209.6795,5254.3042,442166
2015-06-11,5329.2951,5306.59,5248.1626,5305.1407,392339
2015-06-12,5351.6481,5335.1151,5283.0859,5329.2781,430131
2015-06-15,5362.4515,5221.1665,5207.3081,5354.0138,475746
2015-06-16,5204.303,5064.8212,5015.2646,5165.0245,411676
2015-06-17,5158.3671,5138.8307,4949.2934,5072.3064,397124
2015-06-18,5121.2184,4930.5491,4926.4292,5107.6946,364396
2015-06-19,4910.4499,4637.0517,4634.6909,4847.0568,358105
2015-06-23,4786.955,4786.0906,4455.3304,4641.4248,365088
2015-06-24,4883.7317,4880.1261,4744.3058,4811.5949,434639
2015-06-25,4919.2631,4706.5159,4667.2235,4906.2416,446136
2015-06-26,4650.1861,4336.1947,4278.6752,4573.8723,446640
2015-06-29,4451.1659,4191.5486,4000.9261,4446.8419,525662
2015-06-30,4475.7674,4472.9976,4016.0126,4161.0672,527045
2015-07-01,4526.1271,4253.021,4235.6964,4408.9843,431721
2015-07-02,4312.1904,4107.9961,4000.0612,4287.7344,457062
2015-07-03,4164.6289,3885.9169,3785.9015,4017.2019,429301
2015-07-06,4218.266,3998.537,3832.4678,4218.266,648095
2015-07-07,3960.6359,3928.0025,3743.6237,3877.8539,679385
2015-07-08,3762.6222,3663.0375,3612.2536,3651.0604,581467
2015-07-09,3930.2641,3897.6263,3537.826,3621.6804,503871
2015-07-10,4179.1114,4106.5561,3887.5509,3916.2717,500702
2015-07-13,4278.1612,4211.8116,4072.4297,4132.2308,502092
2015-07-14,4258.5132,4112.1488,4062.5004,4178.6295,454422
2015-07-15,4114.2425,3966.7585,3899.5079,4068.8803,421956
2015-07-16,4067.0223,3997.3555,3856.3213,3949.639,330531
2015-07-17,4190.1857,4151.4956,4000.2307,4023.7567,331107
2015-07-20,4221.693,4160.612,4106.389,4157.0598,352673
2015-07-21,4201.4824,4166.0057,4081.7039,4109.7606,318375
2015-07-22,4187.4305,4157.1604,4094.7116,4148.5601,318946
2015-07-23,4262.0619,4250.805,4148.8235,4158.932,354472
2015-07-24,4299.6497,4176.2787,4154.617,4255.1977,392045
2015-07-27,4156.3128,3818.7314,3817.1693,4097.7963,365055
2015-07-28,3883.4461,3811.0926,3627.4214,3690.9741,383527
2015-07-29,3934.0033,3930.3791,3769.1894,3839.9585,276973
2015-07-30,3968.5338,3815.4118,3802.8821,3915.7795,271549
2015-07-31,3863.6237,3816.6993,3757.9889,3777.1546,222377
2015-08-03,3829.2354,3829.2354,3742.5781,3766.0719,245805
2015-08-04,3948.4489,3948.1554,3801.0281,3827.3726,220237
2015-08-05,3962.2774,3866.8998,3858.6598,3937.6232,200484
2015-08-06,3888.6926,3831.8516,3793.237,3802.928,147279
2015-08-07,3926.6488,3906.9448,3857.9076,3866.4298,183349
2015-08-10,4101.7313,4084.3646,3932.8417,3947.4724,306781
2015-08-11,4110.1328,4066.6692,4042.0037,4083.5887,322034
2015-08-12,4078.0297,4016.1262,4015.3547,4025.6735,255146
2015-08-13,4075.7003,4075.463,3967.8205,4010.0129,242837
2015-08-14,4113.1585,4073.54,4056.7265,4097.9177,253393
2015-08-17,4081.7718,4077.8721,4009.9896,4058.1129,256940
2015-08-18,4103.0535,3825.4122,3816.5535,4084.3108,319881
2015-08-19,3898.74,3886.1357,3668.1924,3748.2663,269050
2015-08-20,3880.824,3761.4541,3761.4541,3848.4034,212168
2015-08-21,3757.7794,3589.5358,3578.1749,3714.2891,217986
2015-08-24,3468.1493,3275.5342,3266.5499,3454.5977,255437
2015-08-25,3200.1081,3042.9266,3019.5561,3070.0069,276081
2015-08-26,3192.9316,3025.692,2952.0082,3062.566,308271
2015-08-27,3206.7238,3205.6375,3028.3984,3092.8123,267295
2015-08-28,3353.2435,3342.2863,3223.6221,3246.236,299498
2015-08-31,3368.2789,3366.5359,3205.5365,3307.3962,280250
2015-09-01,3370.5039,3362.0827,3190.5783,3296.5289,352459
2015-09-02,3387.0204,3365.8318,3213.6371,3220.8505,347789
2015-09-07,3422.2246,3250.485,3240.2427,3347.2934,204224
2015-09-08,3340.2192,3334.0233,3170.807,3221.789,154600
2015-09-09,3426.6509,3399.3054,3330.2896,3344.8238,220467
2015-09-10,3398.3164,3357.561,3337.3105,3349.2806,144883
2015-09-11,3383.1338,3347.1878,3315.4782,3349.8772,108548
2015-09-14,3373.9212,3281.1317,3187.5659,3367.642,205457
