comment,label
大A己跌破五日线，己破位！降低仓位，短线只可分批低吸热点概念股，不追涨高位股！风,-1
北向有异动,-1
房地产出利好了，是不是反转信号了？,1
补完缺口，抄底良机,1
$上证指数(SH000001)$在家只能看股票,-1
谢谢，大盘这么给力，小赚出局了，,0
清仓,-1
凯盛新材：目前公司氯化亚砜产品基本处于满产满销状态,1
看这架势还有二次下跌幅度，2800附近才有可能企稳。,-1
既然是震荡市，下跌还未向下突破，应该采用震荡市的思维操作，高抛低吸。大概率指数止,0
这就是我们的股市，群众的眼睛是雪亮的,-1
没有外资，看内资鸡狗大展熊风。,-1
观望,0
下杀了，下毒手了,-1
这周2900,0
别跑，没有事的。还能涨到4800点。,1
赶紧砸，求你了,-1
逼着我们上套，就不买，就等着回调。不信了，只涨不跌了。,-1
缺口不补，又能怎样,-1
红了,1
早盘诱高尾盘拉升，跌不死你们还是放量,-1
快扶我起来，我还能加仓,-1
上证指数己经进入上轨压力位密集成交区，明天冲高回落宽幅振荡。,-1
新年新起点，前路浩浩荡荡，万事皆可期待。[福],0
跃岭股份：要出售光芯股权。大宗交易下个月要拉高股价出货。,-1
跌停！,-1
后续每天都是半小时诱多行情模式，追进去就被套,-1
$上证指数(SH000001)$两根阳线跌了一个多月[赞],-1
在酝酿大跌，散户很多也已经走了吧,-1
在痛苦的是股民天天看到资金在减少！,-1
北向资金的确消息灵通、嗅觉灵敏，近几日上层利好政策一个接一个,1
没见过几天资金是流入的,-1
来个痛快，迟死早死，就这嚒这么人[怒][怒],-1
这次大涨躲过了,0
券商真是使劲压啊,1
一早上我就说独立行情看涨，竟然有人说脑袋进水，真的很无语！,1
又接回了京北方[拜神][拜神],0
开溜[胜利][胜利][胜利],-1
礼拜一就是一个当头棒喝[大笑][大笑][大笑],-1
3310马上突破,1
A50开始拉升了,1
$上证指数(SH000001)$跌起来来吧，小宝贝[下跌],-1
今天在跌40个点吧,-1
这波3700,1
膜技术的科技含量和应用范围之广，注定了三达膜在市场中的地位和提升至合理的估值的达,1
震荡走势,0
明天就让你现出原形！,-1
上次有大V说原油跌，A股涨，我看了数据发现不对。今天和原油一起下跌，昨天也是。和,-1
到底是谁在天天护盘呢，天天v，小散玩出了精神病，一买就买跌，一卖就涨！,0
A股，永远的神，YYDS。有闲钱就拿进来消费一下。,-1
股市是最大的消费市场，不服不行,0
大钱罐子！,0
鸡狗趁机割韭菜不亦说乎,0
$上证指数(SH000001)$高开低走去补缺口,-1
主力开始砸盘，看谁跑的快,-1
$上证指数(SH000001)$星期三开始减仓[滴汗],-1
不放量会一直跌,-1
$小米集团-W(HK|01810)$苹果为什么卖得越来越好，其中一个原因，去官网,0
房地产这坑挖得有点深，靠什么支撑。。。,-1
银行保险证券最近都是做空主力[下跌][看空][看空][看空],-1
我的天还有高点,1
这算利好吗？,1
尿性,-1
老规矩，两点半，开始拉,-1
老乡别走，吃碗面再走,-1
指数跌回2860，大家可能多亏一倍。又被主力割韭菜了,-1
随着市场机构及金融组持续不断地杀猪收菜，22年，沪深大多数股民们，都是还没准备好,-1
好无语，有多少人和我一样。,0
连续两天重锤，要清仓走人了,-1
$上证指数(SH000001)$今天吃了这颗糖，我又忘了前几天的巴掌！！！,-1
$上证指数(SH000001)$都是国内鸡狗在卖，通们没卖多少,-1
Gridtential与601311骆驼能源和美国三大汽车制造商之一签订开发协议,1
底部区间不割肉,0
$上证指数(SH000001)$人气的恢复，需要时间！,-1
A股当下炒新材料新技术,1
反包昨天阳线?,-1
呵呵都在幻想大反弹,0
世界杯该走的这两天都走完了！看来要拉升一波了[强壮],-1
请问你3623是怎么看出来的,0
靠靠靠，3000点涨到3600时个股不涨，3600跌到破3000时，个股惨不忍睹,0
$上证指数(SH000001)$大盘牛啊，个股跌成狗啊,-1
哎！上个星期亏15个点，把一个月赚的全部亏了。,-1
$上证指数(SH000001)$筑顶,-1
欧洲已经暴跌，明天低开低走跌停,-1
交易如爬山，但一定要从山脚爬起，路上的小沟小坑也是风景，中途别累着，喝点水，定好,-1
2022.12.9总资产：49.0w今日盈亏：+4.2k本月：+3.2w今年来：,1
$上证指数(SH000001)$能又点创意吗？,0
所以指标失效，熊市到来。下半年再说吧,-1
一天就把一个星期的上涨跌掉，牛逼克拉斯,-1
$上证指数(SH000001)$今天大盘冲破3400.扶摇直上4400,1
$上证指数(SH000001)$高低切换抄底半导体芯片上市公司,1
内狗卖300亿,-1
$上证指数(SH000001)$唱空的路子，如期而至,-1
利空基本出尽，老师都说最后的洗盘,-1
《每日一帖，向着50万目标》净资产67882 当日盈亏574 累计提50K,0
Macd金叉了，满仓干,1
要么痛快点，今天一天吧缺口补了,-1
对大盘的看法：今天早上回补了3561间的跳空缺口。先不要着急买入，观察一下，因为,-1
12-22昨天说了大盘3637左右。地产需要减仓、从八成减到6成。仓位是减了、但,-1
是不是昙花一现,-1
十3500，收盘空仓。,0
搞突袭？[大笑][大笑][大笑],0
散户的记忆三秒钟，涨二，三个点就开心的笑了,-1
3000点牛市的起点。。。加仓干,1
[困顿][困顿][困顿]睡觉吧！战云密布不适合炒股,0
看好海正药业！,1
涨了指数，个股跌惨！,0
今天该回调了！,-1
又要碰年线了，危![傲],-1
《上证拉了3连阳，明天可能黑周四。》,0
好搞笑啊这个市肠，毫无例外的每天开盘前砸！,-1
好,1
就是这么让你意想不到！！,-1
反弹出货，再反弹再出货！注意风险！,-1
午后开盘绝对击破3000点,-1
近期股市赚不了钱离场观望暂休二个半月再来参与冬播及春节前春播来年再来参与投资股市,-1
$上证指数(SH000001)$温水煮青蛙，青蛙最后烂成一锅汤,-1
一年会到原点啊,0
北向开始出货主力继续趴着,-1
上证主动买套是2880附近，但是我想买入指数还没有到达目标价位。还的估计的5月份,1
老乡，别走！,1
外资依旧再买,-1
外资没想到内资这么gou,-1
好不好啦,0
三千一以下收盘,-1
今天各大指数延续跳水走势，主要是游资互博以及机构调仓意愿导致机构资金流入放缓，现,-1
$上证指数(SH000001)$还差250点方可满仓。,-1
$上证指数(SH000001)$老套路，刚扫了一眼基圈，基民也在减仓，这次会不会,-1
跌到2800上车，不可能精准抄底，只能在估值相对便宜的时候买入,0
关键时刻还得靠大金融,-1
3250到了 可以收收心了,0
明天该跌了，因为我追高了，铁律说是我来了就要跌了,-1
这会儿中大盘股拉指数,0
近期的大A只有三种走势。高开后回调，低开拉高后回调，低开回调。为什么要回调，因为,-1
下午大涨,1
大盘今日必回调2个点以上,-1
哈哈，又忽悠了一批这套注，起码三年出不来,-1
别涨指数了！我的股票都没动，一调整又了,0
高开太多不需要太多主力成本，还能出不少货。除非主力是真的真的最多，特别是一些票左,-1
$上证指数(SH000001)$收盘可以写三大指数涨跌不一了，不容易啊,-1
我们一起3000点见，大家一起快跑，去旅游他不香吗,-1
$上证指数(SH000001)$看看人保100%本息承保的北京玖富诈骗团伙就知道,0
大盘即将反弹！,1
大盘会涨吗？,0
一切归于尘土，前期努力白费，重回下跌通道,-1
大家有空去看一下主页最新长文，希望你有所收获。,-1
今天应该是最后一跌了，开启上升趋势,1
这两天大盘跌出了黄金坑了，农牧肉科技医药有欲动了,-1
大盘涨格力和A50一动不动，只能说明一点，外资去意坚决！呵呵,-1
调整态势明显,-1
飞天大牛股百达精工黄金坑走势[偷笑][偷笑][偷笑],1
大盘2700，好早就说了,-1
加油俯冲,-1
机构为了排名，现在都不动锁定利润了。等明年吧。,-1
高位的跌一点，该低位的涨一涨了,-1
指数涨了，票没跟上，钱没了,-1
你真是收放自如,-1
$上证指数(SH000001)$再跌几天就两千六百点了！,-1
不是实实在在的涨！忽悠式上涨怕只能观望了。,0
明天开市吗？,0
今天跌停的还怪多的，哎，看着高开还进了三层仓，失算了,-1
，明天低开，破三千,-1
尾盘跌30点上下！,-1
今天又是低开了！昨天炸板今天要被埋。,-1
2900还有机会？周一清仓到现在忍了好久了[滴汗],-1
撑着干嘛直接杀到3000点我们再一起做多人不行别怪路不平,-1
$上证指数(SH000001)$两周内破2800,-1
$上证指数(SH000001)$我就不信这个位置机构不抄底，如果不抄，散户齐心抄,-1
$上证指数(SH000001)$量能不够，还是要回3400点！,-1
下来，别装了,-1
失手3100点，明天3050保卫战,-1
科技才是第一生产力,0
周线,-1
技术熊！,-1
月线macd死叉，自己想吧,-1
再跌两天.过年,-1
继续流出资金2百多亿元，真的疯了。,-1
近期服装纺织送钱行情来了,1
下周3000点保卫战应该打响！大家备足子弹和炮弹就好！,-1
$上证指数(SH000001)$又来,0
新能车是以后的潮流所向，积极拥抱政策风向。,1
今天跟涨吗,1
$上证指数(SH000001)$分时级别的反弹完毕，下跌中继，这次是日线级别的调,-1
清仓吧,-1
各小组注意，请做好跳水准备…,-1
指数涨，个股不涨，骗割韭菜一茬接一茬。,0
北向今天又净流出多少？,-1
千年等一回的超级牛，已到。年底上万点？明年3万点。。买买买。。。。,1
$上证指数(SH000001)$在绝望中开始，在犹豫中上涨。,1
大盘面临调整，主力资金获利回吐，庄股诱多忽悠接盘侠，推荐狗开足马力带人掉沟，要过,-1
有的人怕涨，大盘就大涨让他们交出筹码。有人怕跌，大盘就下跌让他们交出筹码。有的人,0
3000家跌的[为什么]指数红了？,-1
卸载，永远不会再进股市,-1
是不是该反弹一下了[坏笑],1
看到这么多人看多A股，我就感觉畏惧！要敬畏这个市场,1
昨天没跟外围大跌，今天也不会跟外围大涨！走自己的行情，阴跌,-1
大盘下午必然泛红！我们中国能行！中国人民勤劳勇敢！必将独立屹立于世界之林！,1
$上证指数(SH000001)$天佑中华吧！,0
这走势，看着要大跌啊！,-1
$上证指数(SH000001)$人家跌5%都能拉回去，你呢？估计够呛，现在跌1.,-1
$上证指数(SH000001)$成功跳水,-1
今日目标3620,1
今天90个点的波动。[赞],0
是因为我今天早上吃了一碗蓬莱小面才如此的吗,0
每天都是拉起来当天就埋，这种最恶心了,-1
$上证指数(SH000001)$建议赚钱的小伙伴减仓操作,-1
个人感觉，国企股，老板是政府。市场涨，国企股不涨，不受资本市场所影响。从此远离国,0
又一次阳包阴，大A封神了！,1
$上证指数(SH000001)$3200看你到,-1
这段时间仓位太轻，总感觉要踏空。,-1
2.11调整如期而至,-1
下午翻绿,-1
这月还行！,1
已经跑的差不多了,-1
抽筋了,0
3点之后会稳住，放心持股！,0
收盘3120[微笑],1
3147守不住了,-1
$上证指数(SH000001)$非常感谢袁隆平。中国才安全。,-1
憋不住了啊,0
外资做空了,-1
赶紧逃命，，，，，，,-1
不想说什么，10几年亏最惨的一个多月,-1
每年1月1号都要熔断,-1
这种是诱多走势，拭目以待,0
今天指数能否翻红，决定医药板块是否止跌！！！,-1
奢望今天大A先抑后扬，走出来个独立上涨行情！阿弥陀佛！[拜神][拜神][拜神],1
年底春节之际又拉白酒,-1
看这样式估计要大跌了,-1
期货就是这样，有太多的不确定因素，周末风声鹤唳，周一基本又大幅反弹了，唯一的选择,0
今年的底部至少要到2700点，看到的朋友警惕,-1
3214是一个关口,-1
大无语，买入股票想着是价值投资，没想到是慢慢回本路，这大涨的好心情都没有,0
看来今天大概率上演高开低走了[滴汗],-1
