sentence,label
贵阳银行5年平均线5.76元，平安银行13.42元，银行指数已站上5年线，   ,1
今天港股招商大涨，对平安这个小老弟也应该利好吧？ ,1
平安银行节后领跌重灾区！ ,0
今晚公告业绩，是驴子是马拿出来溜溜[为什么][为什么][为什么]  ,0
银行有利空了，幸好周四9.67清空了  ,0
俩月，亏百分之五十多了[捂脸]  ,0
民生银行小微之王，浦发银行对公之王，兴业银行同业之王，招商银行零售之王。  ,1
那么多业绩差的垃圾公司上市就是浪费国家资源（投资者的资金），最终是耗尽投资者信心  ,0
平安银行每股净资产20.4元+拨备5.,1
中央经济工作会议：金融强国——建立“中特估”金融体系！ ,1
民营银行！投资必须小心！ ,0
哈哈，离场离场还是离场！！！！ ,0
到12.31，机构持仓从132亿减至2.2亿。北向资金也降至近年最低。 ,0
平安银行不能长期分红垫底不能让股民永处亏损煎熬之中  ,1
从20开始，一路跌，一路加，没想到银行股也可以从24跌到9。价值投资，长期持有， ,1
还有谁不服？反正我服了  ,0
此股为什么历年派息比例那么低？[怒][怒][怒]  ,0
平安银行大宗交易成交104.21万股 成交额891.00万元  ,1
反弹目标3100点！ ,1
唯有把那些连续几年亏损的垃圾股清退出去，优质公司多了，市场也才会逐渐转好。,1
去年儿子闺女的压岁钱被套在了13元，今年压岁钱高低都不给我保管了[撇嘴][撇嘴]  ,0
还是可以正常做空，直接来铺大的  ,0
新年不开市，长红有屁用  ,0
裸卖空的根基是转融券，应直接规定：证券公司不能从事转融券业务。,1
表演，继续····砸完盘出来装好人来了。 ,0
不是救市，国家队捡便宜来了。 ,0
节后我将主要精力放在平安银行上  ,1
要求管理层将分红提升至30%以上，至少每股分红0.6元以上，以维护股东利益！ ,1
这么赚钱怎么分红一点点，留着存银行吗？？？ ,0
科普：轮回而已  ,0
详解平安银行2023年3季报：净利润同比增8.1%；调结构信贷增长放缓，财富管理保持高增。,1
建议对恶意做空股票采取限量卖出，每个账户每天限量1万股卖出，买入不限量。  ,1
[赞]祝老师龙年大吉！ ,1
韭菜是如何长成的？ ,0
辞兔迎龙，新年长红！兔年行情已然收官，三大指数全线飘红，两市指数均以漂亮的三连阳收尾。,1
来抄底了今天[捂脸]  ,1
平安银行历年从市场募集902.71亿元，共计分红344.52亿元，在所有银行股中最多。  ,1
铁公鸡，一毛不拔的货，证监会进一强调分红的。,0
有走强的愿望  ,1
现在平安银行的估值比工商银行农业银行都要低。在历史上非常罕见的。,1
开门红，合拿红包  ,1
长线还是处于技术下压状态，只是技术偏离修正，不可确认是回升，只能是下看2440点  ,0
观察了很久，今天终于下手了  ,1
机会1：跌多会涨，机会2：补涨  ,1
平安是平安的银行，不是散户的银行  ,1
已经八天没创新高了，一直在9.68附近震荡，我清仓了，年后再说吧。,0
就是那个2023全部预测错误的那家？？？ ,0
感觉没必要在平安上面赌，肯定有问题，随便41支银行选一支，他涨时都比他涨得多。  ,0
平安银行今年分红每股至少1块  ,1
节后5天内平安上11问题不大，加仓加仓  ,1
没有价值只有风险  ,0
铁公鸡，一毛不拔，你还能涨上天？ ,0
似乎有人认为自己是救世主  ,0
